ID,SMILES,exp,InChi
1,CCCCCC,-3.84,"InChI=1/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3"
2,CCC(C)CC,-3.68,"InChI=1/C6H14/c1-4-6(3)5-2/h6H,4-5H2,1-3H3"
3,C1CCCCC1,-3.1,InChI=1/C6H12/c1-2-4-6-5-3-1/h1-6H2
4,CC(C)CC(C)C,-4.26,"InChI=1/C7H16/c1-6(2)5-7(3)4/h6-7H,5H2,1-4H3"
5,CCCCCCCC,-5.24,"InChI=1/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3"
6,C1CCCCCCC1,-4.15,InChI=1/C8H16/c1-2-4-6-8-7-5-3-1/h1-8H2
7,C/C=C/CC,-2.54,"InChI=1/C5H10/c1-3-5-4-2/h3,5H,4H2,1-2H3/b5-3+"
8,C=CCC(C)C,-3.24,"InChI=1/C6H12/c1-4-5-6(2)3/h4,6H,1,5H2,2-3H3"
9,C=CCCCCCCC,-5.05,"InChI=1/C9H18/c1-3-5-7-9-8-6-4-2/h3H,1,4-9H2,2H3"
10,C=CCC=C,-2.09,"InChI=1/C5H8/c1-3-5-4-2/h3-4H,1-2,5H2"
11,C=CCCC=C,-2.68,"InChI=1/C6H10/c1-3-5-6-4-2/h3-4H,1-2,5-6H2"
12,C=CC=C,-1.87,"InChI=1/C4H6/c1-3-4-2/h3-4H,1-2H2"
13,C1=CCC=CC1,-1.97,"InChI=1/C6H8/c1-2-4-6-5-3-1/h1-2,5-6H,3-4H2"
14,C#CCCCCCC,-3.66,"InChI=1/C8H14/c1-3-5-7-8-6-4-2/h1H,4-8H2,2H3"
15,C#CCCCCCCC,-4.24,"InChI=1/C9H16/c1-3-5-7-9-8-6-4-2/h1H,4-9H2,2H3"
16,Cc1ccc(C)cc1,-2.77,"InChI=1/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3"
17,Cc1cccc(C)c1,-2.82,"InChI=1/C8H10/c1-7-4-3-5-8(2)6-7/h3-6H,1-2H3"
18,Cc1cc(C)cc(C)c1,-3.4,"InChI=1/C9H12/c1-7-4-8(2)6-9(3)5-7/h4-6H,1-3H3"
19,Cc1cccc(C)c1C,-3.2,"InChI=1/C9H12/c1-7-5-4-6-8(2)9(7)3/h4-6H,1-3H3"
20,CCc1ccc(C)cc1,-3.11,"InChI=1/C9H12/c1-3-9-6-4-8(2)5-7-9/h4-7H,3H2,1-2H3"
21,CC(C)c1ccccc1,-3.27,"InChI=1/C9H12/c1-8(2)9-6-4-3-5-7-9/h3-8H,1-2H3"
22,CCCCc1ccccc1,-4.06,"InChI=1/C10H14/c1-2-3-7-10-8-5-4-6-9-10/h4-6,8-9H,2-3,7H2,1H3"
23,CCc1ccc(CC)cc1,-3.75,"InChI=1/C10H14/c1-3-9-5-7-10(4-2)8-6-9/h5-8H,3-4H2,1-2H3"
24,CC[C@@H](C)c1ccccc1,-3.89,"InChI=1/C10H14/c1-3-9(2)10-7-5-4-6-8-10/h4-9H,3H2,1-2H3/t9-/m1/s1"
25,Cc1cc(C)c(C)c(C)c1C,-4,"InChI=1/C11H16/c1-7-6-8(2)10(4)11(5)9(7)3/h6H,1-5H3"
26,CCC(C)(C)c1ccccc1,-4.15,"InChI=1/C11H16/c1-4-11(2,3)10-8-6-5-7-9-10/h5-9H,4H2,1-3H3"
27,CCCCCCc1ccccc1,-5.21,"InChI=1/C12H18/c1-2-3-4-6-9-12-10-7-5-8-11-12/h5,7-8,10-11H,2-4,6,9H2,1H3"
28,C=Cc1ccccc1,-2.82,"InChI=1/C8H8/c1-2-8-6-4-3-5-7-8/h2-7H,1H2"
29,c1ccc(cc1)CCc1ccccc1,-4.62,"InChI=1/C14H14/c1-3-7-13(8-4-1)11-12-14-9-5-2-6-10-14/h1-10H,11-12H2"
30,Cc1ccc2ccccc2c1,-3.77,"InChI=1/C11H10/c1-9-6-7-10-4-2-3-5-11(10)8-9/h2-8H,1H3"
31,CCc1cccc2ccccc12,-4.17,"InChI=1/C12H12/c1-2-10-7-5-8-11-6-3-4-9-12(10)11/h3-9H,2H2,1H3"
32,CCc1ccc2ccccc2c1,-4.29,"InChI=1/C12H12/c1-2-10-7-8-11-5-3-4-6-12(11)9-10/h3-9H,2H2,1H3"
33,Cc1ccc(C)c2ccccc12,-4.14,"InChI=1/C12H12/c1-9-7-8-10(2)12-6-4-3-5-11(9)12/h3-8H,1-2H3"
34,Cc1ccc2cc(C)ccc2c1,-4.89,"InChI=1/C12H12/c1-9-3-5-12-8-10(2)4-6-11(12)7-9/h3-8H,1-2H3"
35,Cc1ccc(C)c2c(C)cccc12,-4.92,"InChI=1/C13H14/c1-9-7-8-11(3)13-10(2)5-4-6-12(9)13/h4-8H,1-3H3"
36,c1ccc2c(c1)ccc1ccccc21,-5.26,InChI=1/C14H10/c1-3-7-13-11(5-1)9-10-12-6-2-4-8-14(12)13/h1-10H
37,Cc1c2ccccc2cc2ccccc12,-5.89,"InChI=1/C15H12/c1-11-14-8-4-2-6-12(14)10-13-7-3-5-9-15(11)13/h2-10H,1H3"
38,c1ccc2c(c1)c1cccc3cccc2c13,-6,InChI=1/C16H10/c1-2-8-13-12(7-1)14-9-3-5-11-6-4-10-15(13)16(11)14/h1-10H
39,c1ccc2cc3c(cc2c1)Cc1ccccc31,-8.04,"InChI=1/C17H12/c1-2-6-13-11-17-15(9-12(13)5-1)10-14-7-3-4-8-16(14)17/h1-9,11H,10H2"
40,c1ccc2c(c1)c1ccccc1c1ccccc21,-6.74,InChI=1/C18H12/c1-2-8-14-13(7-1)15-9-3-4-11-17(15)18-12-6-5-10-16(14)18/h1-12H
41,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,-8.19,InChI=1/C20H12/c1-2-7-17-15(4-1)12-16-9-8-13-5-3-6-14-10-11-18(17)20(16)19(13)14/h1-12H
42,Cc1c2ccccc2c(C)c2c1ccc1ccccc21,-7.02,"InChI=1/C20H16/c1-13-16-8-5-6-9-17(16)14(2)20-18(13)12-11-15-7-3-4-10-19(15)20/h3-12H,1-2H3"
43,c1ccc2c(c1)c1cccc3ccc4cccc2c4c13,-7.8,InChI=1/C20H12/c1-2-8-16-15(7-1)17-9-3-5-13-11-12-14-6-4-10-18(16)20(14)19(13)17/h1-12H
44,c1ccc2c(c1)ccc1c3ccccc3ccc21,-8.06,InChI=1/C18H12/c1-3-7-15-13(5-1)9-11-18-16-8-4-2-6-14(16)10-12-17(15)18/h1-12H
45,c1cc2cccc3c4cccc5cccc(c(c1)c23)c45,-8.8,InChI=1/C20H12/c1-5-13-6-2-11-17-18-12-4-8-14-7-3-10-16(20(14)18)15(9-1)19(13)17/h1-12H
46,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,-9.03,InChI=1/C22H12/c1-3-13-7-9-15-11-12-16-10-8-14-4-2-6-18-17(5-1)19(13)21(15)22(16)20(14)18/h1-12H
47,c1ccc2cc3cc(ccc3cc2c1)N,-5.17,"InChI=1/C14H11N/c15-14-6-5-12-7-10-3-1-2-4-11(10)8-13(12)9-14/h1-9H,15H2"
48,CCc1ccc2cc3ccccc3cc2c1,-6.89,"InChI=1/C16H14/c1-2-12-7-8-15-10-13-5-3-4-6-14(13)11-16(15)9-12/h3-11H,2H2,1H3"
49,c1ccc2c(c1)ccc1c3cccc4cccc(c34)c21,-8,InChI=1/C20H12/c1-2-8-15-13(5-1)11-12-17-16-9-3-6-14-7-4-10-18(19(14)16)20(15)17/h1-12H
50,c1ccc2cc3c4cccc5cccc(c3cc2c1)c45,-8.49,InChI=1/C20H12/c1-2-6-15-12-19-17-10-4-8-13-7-3-9-16(20(13)17)18(19)11-14(15)5-1/h1-12H
51,C(Br)Cl,-0.89,InChI=1/CH2BrCl/c2-1-3/h1H2
52,C(Br)Br,-1.17,InChI=1/CH2Br2/c2-1-3/h1H2
53,C(Cl)(Cl)Cl,-1.17,InChI=1/CHCl3/c2-1(3)4/h1H
54,C(Br)(Br)Cl,-1.9,InChI=1/CHBr2Cl/c2-1(3)4/h1H
55,C(Cl)(Cl)(Cl)Cl,-2.31,"InChI=1/CCl4/c2-1(3,4)5"
56,C(Br)(Br)(Br)Br,-3.14,"InChI=1/CBr4/c2-1(3,4)5"
57,CC(Cl)Cl,-1.29,"InChI=1/C2H4Cl2/c1-2(3)4/h2H,1H3"
58,C(CCl)Br,-1.32,InChI=1/C2H4BrCl/c3-1-2-4/h1-2H2
59,C(C(Cl)Cl)Cl,-1.48,"InChI=1/C2H3Cl3/c3-1-2(4)5/h2H,1H2"
60,C(C(Cl)Cl)(Cl)Cl,-1.74,InChI=1/C2H2Cl4/c3-1(4)2(5)6/h1-2H
61,C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,-3.67,"InChI=1/C2Cl6/c3-1(4,5)2(6,7)8"
62,CCCBr,-1.73,"InChI=1/C3H7Br/c1-2-3-4/h2-3H2,1H3"
63,C(CBr)CBr,-2.08,InChI=1/C3H6Br2/c4-2-1-3-5/h1-3H2
64,C([C@@H](CCl)Br)Br,-2.38,"InChI=1/C3H5Br2Cl/c4-1-3(5)2-6/h3H,1-2H2/t3-/m0/s1"
65,CC[C@@H](C)Cl,-1.96,"InChI=1/C4H9Cl/c1-3-4(2)5/h4H,3H2,1-2H3/t4-/m1/s1"
66,CCCCBr,-2.37,"InChI=1/C4H9Br/c1-2-3-4-5/h2-4H2,1H3"
67,CC(C)CBr,-2.43,"InChI=1/C4H9Br/c1-4(2)3-5/h4H,3H2,1-2H3"
68,CCCCCCl,-2.73,"InChI=1/C5H11Cl/c1-2-3-4-5-6/h2-5H2,1H3"
69,CCC(CC)Cl,-2.63,"InChI=1/C5H11Cl/c1-3-5(6)4-2/h5H,3-4H2,1-2H3"
70,C[C@H](C(C)(C)Cl)Cl,-2.69,"InChI=1/C5H10Cl2/c1-4(6)5(2,3)7/h4H,1-3H3/t4-/m1/s1"
71,CCCCCBr,-3.07,"InChI=1/C5H11Br/c1-2-3-4-5-6/h2-5H2,1H3"
72,CCCCCCCCBr,-5.06,"InChI=1/C8H17Br/c1-2-3-4-5-6-7-8-9/h2-8H2,1H3"
73,C(C(Cl)(F)F)(Cl)(F)F,-3.12,"InChI=1/C2Cl2F4/c3-1(5,6)2(4,7)8"
74,[C@@H]1([C@@H]([C@@H]([C@@H]([C@H]([C@H]1Cl)Cl)Cl)Cl)Cl)Cl,-4.51,"InChI=1/C6H6Cl6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-6H/t1-,2-,3-,4-,5-,6-"
75,CCCCCCCBr,-4.43,"InChI=1/C7H15Br/c1-2-3-4-5-6-7-8/h2-7H2,1H3"
76,CCCCCCCCl,-3.99,"InChI=1/C7H15Cl/c1-2-3-4-5-6-7-8/h2-7H2,1H3"
77,C(=C(Cl)Cl)(Cl)Cl,-2.54,InChI=1/C2Cl4/c3-1(4)2(5)6
78,C1=C[C@@H]2C[C@H]1[C@@H]1[C@H]2[C@@]2(C(=C([C@]1(C2(Cl)Cl)Cl)Cl)Cl)Cl,-7.33,"InChI=1/C12H8Cl6/c13-8-9(14)11(16)7-5-2-1-4(3-5)6(7)10(8,15)12(11,17)18/h1-2,4-7H,3H2/t4-,5+,6+,7-,10+,11-"
79,C1[C@H]2[C@@H]3[C@H]([C@@H]1[C@H]1[C@@H]2O1)[C@@]1(C(=C([C@]3(C1(Cl)Cl)Cl)Cl)Cl)Cl,-6.18,"InChI=1/C12H8Cl6O/c13-8-9(14)11(16)5-3-1-2(6-7(3)19-6)4(5)10(8,15)12(11,17)18/h2-7H,1H2/t2-,3+,4+,5-,6+,7-,10+,11-"
80,C=CCBr,-1.5,"InChI=1/C3H5Br/c1-2-3-4/h2H,1,3H2"
81,C(=C(\C(=C(Cl)Cl)Cl)/Cl)\Cl,-4.23,InChI=1/C4HCl5/c5-1-2(6)3(7)4(8)9/h1H/b2-1+
82,c1ccc(cc1)Cl,-2.38,InChI=1/C6H5Cl/c7-6-4-2-1-3-5-6/h1-5H
83,c1cc(ccc1F)I,-3.13,InChI=1/C6H4FI/c7-5-1-3-6(8)4-2-5/h1-4H
84,c1cc(cc(c1)Cl)Br,-3.21,InChI=1/C6H4BrCl/c7-5-2-1-3-6(8)4-5/h1-4H
85,c1cc(ccc1Br)Cl,-3.63,InChI=1/C6H4BrCl/c7-5-1-3-6(8)4-2-5/h1-4H
86,c1ccc(c(c1)Br)Br,-3.5,InChI=1/C6H4Br2/c7-5-3-1-2-4-6(5)8/h1-4H
87,c1cc(c(c(c1)Cl)Cl)Cl,-4,InChI=1/C6H3Cl3/c7-4-2-1-3-5(8)6(4)9/h1-3H
88,c1c(cc(cc1Cl)Cl)Cl,-4.48,InChI=1/C6H3Cl3/c7-4-1-5(8)3-6(9)2-4/h1-3H
89,c1cc(c(c(c1)Br)Br)Br,-5.04,InChI=1/C6H3Br3/c7-4-2-1-3-5(8)6(4)9/h1-3H
90,c1c(c(cc(c1F)F)F)F,-2.38,InChI=1/C6H2F4/c7-3-1-4(8)6(10)2-5(3)9/h1-2H
91,c1cc(c(c(c1Cl)Cl)Cl)Cl,-4.57,InChI=1/C6H2Cl4/c7-3-1-2-4(8)6(10)5(3)9/h1-2H
92,c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl,-5.65,InChI=1/C6HCl5/c7-2-1-3(8)5(10)6(11)4(2)9/h1H
93,Cc1ccc(cc1)Br,-3.19,"InChI=1/C7H7Br/c1-6-2-4-7(8)5-3-6/h2-5H,1H3"
94,c1cc(ccc1F)F,-1.97,InChI=1/C6H4F2/c7-5-1-2-6(8)4-3-5/h1-4H
95,c1ccc(cc1)CCl,-2.39,"InChI=1/C7H7Cl/c8-6-7-4-2-1-3-5-7/h1-5H,6H2"
96,Cc1ccc(cc1)Cl,-3.08,"InChI=1/C7H7Cl/c1-6-2-4-7(8)5-3-6/h2-5H,1H3"
97,c1ccc(cc1)c1ccccc1Cl,-4.54,InChI=1/C12H9Cl/c13-12-9-5-4-8-11(12)10-6-2-1-3-7-10/h1-9H
98,c1cc(cc(c1)Cl)c1cccc(c1)Cl,-5.8,InChI=1/C12H8Cl2/c13-11-5-1-3-9(7-11)10-4-2-6-12(14)8-10/h1-8H
99,c1ccc(cc1)c1ccc(c(c1)Cl)Cl,-6.39,InChI=1/C12H8Cl2/c13-11-7-6-10(8-12(11)14)9-4-2-1-3-5-9/h1-8H
100,c1ccc(cc1)c1cc(c(cc1Cl)Cl)Cl,-6.27,InChI=1/C12H7Cl3/c13-10-7-12(15)11(14)6-9(10)8-4-2-1-3-5-8/h1-7H
101,c1ccc(cc1)c1c(cc(cc1Cl)Cl)Cl,-6.14,InChI=1/C12H7Cl3/c13-9-6-10(14)12(11(15)7-9)8-4-2-1-3-5-8/h1-7H
102,c1cc(cc(c1)Cl)c1cc(ccc1Cl)Cl,-6.01,InChI=1/C12H7Cl3/c13-9-3-1-2-8(6-9)11-7-10(14)4-5-12(11)15/h1-7H
103,c1ccc(c(c1)c1ccc(c(c1)Cl)Cl)Cl,-6.29,InChI=1/C12H7Cl3/c13-10-4-2-1-3-9(10)8-5-6-11(14)12(15)7-8/h1-7H
104,c1cc(ccc1c1ccc(cc1Cl)Cl)Cl,-6.21,InChI=1/C12H7Cl3/c13-9-3-1-8(2-4-9)11-6-5-10(14)7-12(11)15/h1-7H
105,c1cc(c2cc(ccc2Cl)Cl)c(c(c1)Cl)Cl,-6.47,InChI=1/C12H6Cl4/c13-7-4-5-10(14)9(6-7)8-2-1-3-11(15)12(8)16/h1-6H
106,c1cc(c(cc1Cl)c1cc(ccc1Cl)Cl)Cl,-7,InChI=1/C12H6Cl4/c13-7-1-3-11(15)9(5-7)10-6-8(14)2-4-12(10)16/h1-6H
107,c1cc(c(c2cc(ccc2Cl)Cl)c(c1)Cl)Cl,-6.8,InChI=1/C12H6Cl4/c13-7-4-5-9(14)8(6-7)12-10(15)2-1-3-11(12)16/h1-6H
108,c1cc(c(c(c1)Cl)c1c(cccc1Cl)Cl)Cl,-7.39,InChI=1/C12H6Cl4/c13-7-3-1-4-8(14)11(7)12-9(15)5-2-6-10(12)16/h1-6H
109,c1cc(c2ccc(c(c2Cl)Cl)Cl)c(c(c1)Cl)Cl,-7.05,InChI=1/C12H5Cl5/c13-8-3-1-2-6(10(8)15)7-4-5-9(14)12(17)11(7)16/h1-5H
110,c1cc(c(cc1c1cc(c(cc1Cl)Cl)Cl)Cl)Cl,-7.39,InChI=1/C12H5Cl5/c13-8-2-1-6(3-10(8)15)7-4-11(16)12(17)5-9(7)14/h1-5H
111,c1ccc(cc1)c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl,-7.92,InChI=1/C12H5Cl5/c13-8-7(6-4-2-1-3-5-6)9(14)11(16)12(17)10(8)15/h1-5H
112,c1cc(c(c(c1c1cc(c(cc1Cl)Cl)Cl)Cl)Cl)Cl,-8.32,InChI=1/C12H4Cl6/c13-7-2-1-5(11(17)12(7)18)6-3-9(15)10(16)4-8(6)14/h1-4H
113,c1cc(c(cc1Cl)c1cc(c(c(c1Cl)Cl)Cl)Cl)Cl,-7.68,InChI=1/C12H4Cl6/c13-5-1-2-8(14)6(3-5)7-4-9(15)11(17)12(18)10(7)16/h1-4H
114,c1cc(c(cc1Cl)c1c(c(cc(c1Cl)Cl)Cl)Cl)Cl,-7.42,InChI=1/C12H4Cl6/c13-5-1-2-7(14)6(3-5)10-11(17)8(15)4-9(16)12(10)18/h1-4H
115,c1c(cc(c(c1Cl)c1c(cc(cc1Cl)Cl)Cl)Cl)Cl,-8.71,InChI=1/C12H4Cl6/c13-5-1-7(15)11(8(16)2-5)12-9(17)3-6(14)4-10(12)18/h1-4H
116,c1cc(c(cc1c1c(cc(c(c1Cl)Cl)Cl)Cl)Cl)Cl,-7.66,InChI=1/C12H4Cl6/c13-6-2-1-5(3-7(6)14)10-8(15)4-9(16)11(17)12(10)18/h1-4H
117,c1cc(c(c(c1c1ccc(c(c1Cl)Cl)Cl)Cl)Cl)Cl,-8.01,InChI=1/C12H4Cl6/c13-7-3-1-5(9(15)11(7)17)6-2-4-8(14)12(18)10(6)16/h1-4H
118,c1c(c(cc(c1Cl)Cl)Cl)c1c(cc(c(c1Cl)Cl)Cl)Cl,-7.92,InChI=1/C12H3Cl7/c13-5-2-7(15)6(14)1-4(5)10-8(16)3-9(17)11(18)12(10)19/h1-3H
119,c1cc(c(cc1Cl)c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl,-8.94,InChI=1/C12H3Cl7/c13-4-1-2-6(14)5(3-4)7-8(15)10(17)12(19)11(18)9(7)16/h1-3H
120,c1c(c2cc(c(c(c2Cl)Cl)Cl)Cl)c(c(c(c1Cl)Cl)Cl)Cl,-9.16,InChI=1/C12H2Cl8/c13-5-1-3(7(15)11(19)9(5)17)4-2-6(14)10(18)12(20)8(4)16/h1-2H
121,c1c(c2c(c(c(c(c2Cl)Cl)Cl)Cl)Cl)c(c(c(c1Cl)Cl)Cl)Cl,-10.26,InChI=1/C12HCl9/c13-3-1-2(5(14)9(18)6(3)15)4-7(16)10(19)12(21)11(20)8(4)17/h1H
122,c1c(c(c(c2c(c(c(c(c2Cl)Cl)Cl)Cl)Cl)c(c1Cl)Cl)Cl)Cl,-10.41,InChI=1/C12HCl9/c13-2-1-3(14)7(16)4(6(2)15)5-8(17)10(19)12(21)11(20)9(5)18/h1H
123,c1cc(ccc1C(c1ccc(cc1)Cl)C(Cl)Cl)Cl,-7.2,"InChI=1/C14H10Cl4/c15-11-5-1-9(2-6-11)13(14(17)18)10-3-7-12(16)8-4-10/h1-8,13-14H"
124,CCC(CC)O,-0.24,"InChI=1/C5H12O/c1-3-5(6)4-2/h5-6H,3-4H2,1-2H3"
125,CCC(C)(C)O,0.08,"InChI=1/C5H12O/c1-4-5(2,3)6/h6H,4H2,1-3H3"
126,CC(C)[C@@H](C)O,-0.2,"InChI=1/C5H12O/c1-4(2)5(3)6/h4-6H,1-3H3/t5-/m1/s1"
127,CCCC[C@@H](C)O,-0.89,"InChI=1/C6H14O/c1-3-4-5-6(2)7/h6-7H,3-5H2,1-2H3/t6-/m1/s1"
128,CC(C)[C@@H](C)CO,-0.39,"InChI=1/C6H14O/c1-5(2)6(3)4-7/h5-7H,4H2,1-3H3/t6-/m0/s1"
129,CC[C@H](C(C)C)O,-0.7,"InChI=1/C6H14O/c1-4-6(7)5(2)3/h5-7H,4H2,1-3H3/t6-/m1/s1"
130,CC(C)(C)CCO,-0.5,"InChI=1/C6H14O/c1-6(2,3)4-5-7/h7H,4-5H2,1-3H3"
131,C[C@H](C(C)(C)C)O,-0.62,"InChI=1/C6H14O/c1-5(7)6(2,3)4/h5,7H,1-4H3/t5-/m1/s1"
132,CCC(C)(CC)O,-0.38,"InChI=1/C6H14O/c1-4-6(3,7)5-2/h7H,4-5H2,1-3H3"
133,CCCCCCCO,-1.81,"InChI=1/C7H16O/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3"
134,CCCC[C@@H](CC)O,-1.47,"InChI=1/C7H16O/c1-3-5-6-7(8)4-2/h7-8H,3-6H2,1-2H3/t7-/m1/s1"
135,CC(C)C[C@H](C)CO,-1.6,"InChI=1/C7H16O/c1-6(2)4-7(3)5-8/h6-8H,4-5H2,1-3H3/t7-/m0/s1"
136,CCCCC(C)(C)O,-1.08,"InChI=1/C7H16O/c1-4-5-6-7(2,3)8/h8H,4-6H2,1-3H3"
137,CC(C)C(C(C)C)O,-1.22,"InChI=1/C7H16O/c1-5(2)7(8)6(3)4/h5-8H,1-4H3"
138,CC[C@@H](C)C(C)(C)O,-0.89,"InChI=1/C7H16O/c1-5-6(2)7(3,4)8/h6,8H,5H2,1-4H3/t6-/m1/s1"
139,CC(C)(C)C(C)(C)O,-0.72,"InChI=1/C7H16O/c1-6(2,3)7(4,5)8/h8H,1-5H3"
140,CCC(C)(CC)O,-1.6,"InChI=1/C6H14O/c1-4-6(3,7)5-2/h7H,4-5H2,1-3H3"
141,CC[C@@](C)(C(C)(C)C)O,-1.27,"InChI=1/C8H18O/c1-6-8(5,9)7(2,3)4/h9H,6H2,1-5H3/t8-/m0/s1"
142,CCCCCC(C)(C)O,-1.72,"InChI=1/C8H18O/c1-4-5-6-7-8(2,3)9/h9H,4-7H2,1-3H3"
143,CCCCCCCCCCCCO,-4.67,"InChI=1/C12H26O/c1-2-3-4-5-6-7-8-9-10-11-12-13/h13H,2-12H2,1H3"
144,c1ccc(cc1)CCCO,-1.38,"InChI=1/C9H12O/c10-8-4-7-9-5-2-1-3-6-9/h1-3,5-6,10H,4,7-8H2"
145,CCCCCCCCCO,-3.01,"InChI=1/C9H20O/c1-2-3-4-5-6-7-8-9-10/h10H,2-9H2,1H3"
146,C[C@H]1CC[C@H](CC1)O,-0.88,"InChI=1/C7H14O/c1-6-2-4-7(8)5-3-6/h6-8H,2-5H2,1H3/t6-,7+"
147,c1cc(cc(c1)O)O,0.81,"InChI=1/C6H6O2/c7-5-2-1-3-6(8)4-5/h1-4,7-8H"
148,c1cc(ccc1O)O,-0.17,"InChI=1/C6H6O2/c7-5-1-2-6(8)4-3-5/h1-4,7-8H"
149,Cc1ccccc1O,-0.62,"InChI=1/C7H8O/c1-6-4-2-3-5-7(6)8/h2-5,8H,1H3"
150,c1ccc(cc1)CO,-0.4,"InChI=1/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2"
151,Cc1cccc(c1)O,-0.68,"InChI=1/C7H8O/c1-6-3-2-4-7(8)5-6/h2-5,8H,1H3"
152,Cc1ccc(c(C)c1)O,-1.19,"InChI=1/C8H10O/c1-6-3-4-8(9)7(2)5-6/h3-5,9H,1-2H3"
153,Cc1cc(C)cc(c1)O,-1.4,"InChI=1/C8H10O/c1-6-3-7(2)5-8(9)4-6/h3-5,9H,1-2H3"
154,CC(C)(C)c1ccc(cc1)O,-2.41,"InChI=1/C10H14O/c1-10(2,3)8-4-6-9(11)7-5-8/h4-7,11H,1-3H3"
155,c1ccc2c(c1)cccc2O,-2.22,"InChI=1/C10H8O/c11-10-7-3-5-8-4-1-2-6-9(8)10/h1-7,11H"
156,c1cc2c(cccc2O)c(c1)O,-2.92,"InChI=1/C10H8O2/c11-9-5-1-3-7-8(9)4-2-6-10(7)12/h1-6,11-12H"
157,c1ccc(cc1)c1ccccc1O,-2.39,"InChI=1/C12H10O/c13-12-9-5-4-8-11(12)10-6-2-1-3-7-10/h1-9,13H"
158,CCCCCC=O,-1.3,"InChI=1/C6H12O/c1-2-3-4-5-6-7/h6H,2-5H2,1H3"
159,CCCCCCCCC=O,-3.17,"InChI=1/C9H18O/c1-2-3-4-5-6-7-8-9-10/h9H,2-8H2,1H3"
160,c1ccc(cc1)C=O,-1.19,InChI=1/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H
