ID,SMILES,exp,InChi
396,Cc1c2c(nccn2)ncn1,-0.47,"InChI=1/C7H6N4/c1-5-6-7(11-4-10-5)9-3-2-8-6/h2-4H,1H3"
397,Cc1cnc2cncnc2n1,0.06,"InChI=1/C7H6N4/c1-5-2-9-6-3-8-4-10-7(6)11-5/h2-4H,1H3"
398,COc1ncc2c(nccn2)n1,-1.11,"InChI=1/C7H6N4O/c1-12-7-10-4-5-6(11-7)9-3-2-8-5/h2-4H,1H3"
399,COc1cnc2cncnc2n1,-0.91,"InChI=1/C7H6N4O/c1-12-6-3-9-5-2-8-4-10-7(5)11-6/h2-4H,1H3"
400,CSc1c2c(nccn2)ncn1,-2.36,"InChI=1/C7H6N4S/c1-12-7-5-6(10-4-11-7)9-3-2-8-5/h2-4H,1H3"
401,CSc1cnc2cncnc2n1,-1.55,"InChI=1/C7H6N4S/c1-12-6-3-9-5-2-8-4-10-7(5)11-6/h2-4H,1H3"
402,c1ccc(c(c1)C=O)O,-0.86,"InChI=1/C7H6O2/c8-5-6-3-1-2-4-7(6)9/h1-5,9H"
403,c1c(cc(c(c1O)O)O)C(=O)O,-1.16,"InChI=1/C7H6O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1-2,8-10H,(H,11,12)/f/h11H"
404,C[C@@H]1CCCC(=O)C1,-1.87,"InChI=1/C7H12O/c1-6-3-2-4-7(8)5-6/h6H,2-5H2,1H3/t6-/m1/s1"
405,CCCCCN=C(O)OC,-1.92,"InChI=1/C7H15NO2/c1-3-4-5-6-8-7(9)10-2/h3-6H2,1-2H3,(H,8,9)"
406,c1cc(ccc1C(=O)O)C(F)(F)F,-1.6,"InChI=1/C8H5F3O2/c9-8(10,11)6-3-1-5(2-4-6)7(12)13/h1-4H,(H,12,13)/f/h12H"
407,c1ccc(c(c1)Cl)OCC(=O)O,-2.16,"InChI=1/C8H7ClO3/c9-6-3-1-2-4-7(6)12-5-8(10)11/h1-4H,5H2,(H,10,11)/f/h10H"
408,CC(=O)OC1CCCCC1,-1.67,"InChI=1/C8H14O2/c1-7(9)10-8-5-3-2-4-6-8/h8H,2-6H2,1H3"
409,COc1cc(ccc1O)C(=O)O,-2.05,"InChI=1/C8H8O4/c1-12-7-4-5(8(10)11)2-3-6(7)9/h2-4,9H,1H3,(H,10,11)/f/h10H"
410,CC(=O)c1ccc(cc1)N,-1.61,"InChI=1/C8H9NO/c1-6(10)7-2-4-8(9)5-3-7/h2-5H,9H2,1H3"
411,CNc1ccccc1C(=O)O,-2.88,"InChI=1/C8H9NO2/c1-9-7-5-3-2-4-6(7)8(10)11/h2-5,9H,1H3,(H,10,11)/f/h10H"
412,Cc1ccc(C)c(c1)O,-1.54,"InChI=1/C8H10O/c1-6-3-4-7(2)8(9)5-6/h3-5,9H,1-2H3"
413,Cc1cccc(C)c1O,-1.31,"InChI=1/C8H10O/c1-6-4-3-5-7(2)8(6)9/h3-5,9H,1-2H3"
414,Cc1ccc(cc1C)O,-1.41,"InChI=1/C8H10O/c1-6-3-4-8(9)5-7(6)2/h3-5,9H,1-2H3"
415,C1CC2C(C(C1O2)C(=O)O)C(=O)O,-0.27,"InChI=1/C8H10O5/c9-7(10)5-3-1-2-4(13-3)6(5)8(11)12/h3-6H,1-2H2,(H,9,10)(H,11,12)/f/h9,11H"
416,CCN(CC)C(=S)SCC(=C)Cl,-3.39,"InChI=1/C8H14ClNS2/c1-4-10(5-2)8(11)12-6-7(3)9/h3-6H2,1-2H3"
417,CC(C)CC(=O)CC(=O)C,-1.6,"InChI=1/C8H14O2/c1-6(2)4-8(10)5-7(3)9/h6H,4-5H2,1-3H3"
418,C[C@H]1CC[C@H](C)CC1,-4.47,"InChI=1/C8H16/c1-7-3-5-8(2)6-4-7/h7-8H,3-6H2,1-2H3/t7-,8-"
419,C[C@H]1CCCC[C@@H]1C,-4.27,"InChI=1/C8H16/c1-7-5-3-4-6-8(7)2/h7-8H,3-6H2,1-2H3/t7-,8-/m0/s1"
420,CCCC1CCCC1,-4.74,"InChI=1/C8H16/c1-2-5-8-6-3-4-7-8/h8H,2-7H2,1H3"
421,CC(C(=O)O)Oc1ccc(cc1Cl)Cl,-2.45,"InChI=1/C9H8Cl2O3/c1-5(9(12)13)14-8-3-2-6(10)4-7(8)11/h2-5H,1H3,(H,12,13)/f/h12H"
422,CC(C(=O)O)Oc1ccccc1Cl,-2.22,"InChI=1/C9H9ClO3/c1-6(9(11)12)13-8-5-3-2-4-7(8)10/h2-6H,1H3,(H,11,12)/f/h11H"
423,Cc1cc(ccc1OCC(=O)O)Cl,-2.23,"InChI=1/C9H9ClO3/c1-6-4-7(10)2-3-8(6)13-5-9(11)12/h2-4H,5H2,1H3,(H,11,12)/f/h11H"
424,c1ccc(cc1)CCC(=O)O,-1.41,"InChI=1/C9H10O2/c10-9(11)7-6-8-4-2-1-3-5-8/h1-5H,6-7H2,(H,10,11)/f/h10H"
425,COc1ccc(cc1)C(=O)OC,-2.41,"InChI=1/C9H10O3/c1-11-8-5-3-7(4-6-8)9(10)12-2/h3-6H,1-2H3"
426,Cc1cccc(c1)OC(=NC)O,-1.8,"InChI=1/C9H11NO2/c1-7-4-3-5-8(6-7)12-9(11)10-2/h3-6H,1-2H3,(H,10,11)"
427,c1cc(c(cc1C[C@@H](C(=O)O)N)O)O,-1.6,"InChI=1/C9H11NO4/c10-6(9(13)14)3-5-1-2-7(11)8(12)4-5/h1-2,4,6,11-12H,3,10H2,(H,13,14)/t6-/m0/s1/f/h13H"
428,CC(C)(C(=O)O)C(C)(CC(=O)O)C(=O)O,-0.29,"InChI=1/C9H14O6/c1-8(2,6(12)13)9(3,7(14)15)4-5(10)11/h4H2,1-3H3,(H,10,11)(H,12,13)(H,14,15)/f/h10,12,14H"
429,C(CCCC(=O)O)CCCC(=O)O,-1.89,"InChI=1/C9H16O4/c10-8(11)6-4-2-1-3-5-7-9(12)13/h1-7H2,(H,10,11)(H,12,13)/f/h10,12H"
430,CCCCCCCCOC(=N)O,-3.3,"InChI=1/C9H19NO2/c1-2-3-4-5-6-7-8-12-9(10)11/h2-8H2,1H3,(H2,10,11)"
431,C1=C[C@H]2[C@@H](C1)[C@@]1(C(=C([C@]2(C1(Cl)Cl)Cl)Cl)Cl)Cl,-5.64,"InChI=1/C10H6Cl6/c11-6-7(12)9(14)5-3-1-2-4(5)8(6,13)10(9,15)16/h1-2,4-5H,3H2/t4-,5+,8+,9-/m0/s1"
432,c1ccc(cc1)n1c(=O)c(c(cn1)N)Br,-3.12,"InChI=1/C10H8BrN3O/c11-9-8(12)6-13-14(10(9)15)7-4-2-1-3-5-7/h1-6H,12H2"
433,c1cc(ccc1N)S(=O)(=O)N=c1cncc[nH]1,-3.7,"InChI=1/C10H10N4O2S/c11-8-1-3-9(4-2-8)17(15,16)14-10-7-12-5-6-13-10/h1-7H,11H2,(H,13,14)"
434,Cc1cc(ccc1O[C@H](C)C(=O)O)Cl,-2.55,"InChI=1/C10H11ClO3/c1-6-5-8(11)3-4-9(6)14-7(2)10(12)13/h3-5,7H,1-2H3,(H,12,13)/t7-/m1/s1/f/h12H"
435,C1CCc2cc(ccc2C1)O,-1.99,"InChI=1/C10H12O/c11-10-6-5-8-3-1-2-4-9(8)7-10/h5-7,11H,1-4H2"
436,CCCN=C(NS(=O)(=O)c1ccc(cc1)Cl)O,-3.03,"InChI=1/C10H13ClN2O3S/c1-2-7-12-10(14)13-17(15,16)9-5-3-8(11)4-6-9/h3-6H,2,7H2,1H3,(H2,12,13,14)"
437,CC(C)c1ccc(C)c(c1)O,-2.08,"InChI=1/C10H14O/c1-7(2)9-5-4-8(3)10(11)6-9/h4-7,11H,1-3H3"
438,c1ccc(cc1)N(CCO)CCO,-0.73,"InChI=1/C10H15NO2/c12-8-6-11(7-9-13)10-4-2-1-3-5-10/h1-5,12-13H,6-9H2"
439,CC1(C)[C@@H]2CC[C@@](C)(C2)C1=O,-1.85,"InChI=1/C10H16O/c1-9(2)7-4-5-10(3,6-7)8(9)11/h7H,4-6H2,1-3H3/t7-,10+/m1/s1"
440,C=C(C)[C@@H]1CC[C@@H](C)C(=O)C1,-2.18,"InChI=1/C10H16O/c1-7(2)9-5-4-8(3)10(11)6-9/h8-9H,1,4-6H2,2-3H3/t8-,9-/m1/s1"
441,Cc1ccc2ccc(C)nc2c1,-1.94,"InChI=1/C11H11N/c1-8-3-5-10-6-4-9(2)12-11(10)7-8/h3-7H,1-2H3"
442,Cc1ccnc(n1)NS(=O)(=O)c1ccc(cc1)N,-2.85,"InChI=1/C11H12N4O2S/c1-8-6-7-13-11(14-8)15-18(16,17)10-4-2-9(12)3-5-10/h2-7H,12H2,1H3,(H,13,14,15)"
443,Cc1c(C)oc(n1)NS(=O)(=O)c1ccc(cc1)N,-2.44,"InChI=1/C11H13N3O3S/c1-7-8(2)17-11(13-7)14-18(15,16)10-5-3-9(12)4-6-10/h3-6H,12H2,1-2H3,(H,13,14)"
444,CCSC(=O)N(CC(C)C)CC(C)C,-3.68,"InChI=1/C11H23NOS/c1-6-14-11(13)12(7-9(2)3)8-10(4)5/h9-10H,6-8H2,1-5H3"
445,c1cc(ccc1O)O.C1=CC(=O)C=CC1=O,-1.73,"InChI=1/C6H6O2.C6H4O2/c2*7-5-1-2-6(8)4-3-5/h1-4,7-8H;1-4H"
446,C#C[C@@H](C)N(C)C(=O)Nc1ccc(cc1)Cl,-3.9,"InChI=1/C12H13ClN2O/c1-4-9(2)15(3)12(16)14-11-7-5-10(13)6-8-11/h1,5-9H,2-3H3,(H,14,16)/t9-/m1/s1"
447,Cc1cc(nc(C)n1)NS(=O)(=O)c1ccc(cc1)N,-2.24,"InChI=1/C12H14N4O2S/c1-8-7-12(15-9(2)14-8)16-19(17,18)11-5-3-10(13)4-6-11/h3-7H,13H2,1-2H3,(H,14,15,16)"
448,CC(C)(C)c1nnc(NS(=O)(=O)C2=CC[C@@H](CC2)N)s1,-3.74,"InChI=1/C12H20N4O2S2/c1-12(2,3)10-14-15-11(19-10)16-20(17,18)9-6-4-8(13)5-7-9/h6,8H,4-5,7,13H2,1-3H3,(H,15,16)/t8-/m0/s1"
449,CCCCN=C(NS(=O)(=O)c1ccc(C)cc1)O,-3.39,"InChI=1/C12H18N2O3S/c1-3-4-9-13-12(15)14-18(16,17)11-7-5-10(2)6-8-11/h5-8H,3-4,9H2,1-2H3,(H2,13,14,15)"
450,CCCCN(CCCC)CCCC,-3.12,"InChI=1/C12H27N/c1-4-7-10-13(11-8-5-2)12-9-6-3/h4-12H2,1-3H3"
451,c1ccc(cc1)N=C(Nc1ccccc1)O,-3.15,"InChI=1/C13H12N2O/c16-13(14-11-7-3-1-4-8-11)15-12-9-5-2-6-10-12/h1-10H,(H2,14,15,16)"
452,Cc1c(cc(c(c1N(=O)=O)OC(=O)C)C(C)(C)C)N(=O)=O,-4.47,"InChI=1/C13H16N2O6/c1-7-10(14(17)18)6-9(13(3,4)5)12(21-8(2)16)11(7)15(19)20/h6H,1-5H3"
453,CCCCCCCCCCCC(=O)OC,-4.69,"InChI=1/C13H26O2/c1-3-4-5-6-7-8-9-10-11-12-13(14)15-2/h3-12H2,1-2H3"
454,c1ccc(c(c1)C(=C(Cl)Cl)c1ccc(cc1)Cl)Cl,-6.36,InChI=1/C14H8Cl4/c15-10-7-5-9(6-8-10)13(14(17)18)11-3-1-2-4-12(11)16/h1-8H
455,c1ccc2c(c1)C(=O)c1ccc(c(c1C2=O)O)O,-2.78,"InChI=1/C14H8O4/c15-10-6-5-9-11(14(10)18)13(17)8-4-2-1-3-7(8)12(9)16/h1-6,15,18H"
456,c1cc(c(c(c1)F)C(=NC(=O)Nc1ccc(cc1)Cl)O)F,-6.02,"InChI=1/C14H9ClF2N2O2/c15-8-4-6-9(7-5-8)18-14(21)19-13(20)12-10(16)2-1-3-11(12)17/h1-7H,(H2,18,19,20,21)"
457,c1ccc(c(c1)[C@@H](c1ccc(cc1)Cl)C(Cl)Cl)Cl,-6.51,"InChI=1/C14H10Cl4/c15-10-7-5-9(6-8-10)13(14(17)18)11-3-1-2-4-12(11)16/h1-8,13-14H/t13-/m1/s1"
458,c1ccc(c(c1)C(=O)O)Nc1cccc(c1)C(F)(F)F,-4.36,"InChI=1/C14H10F3NO2/c15-14(16,17)9-4-3-5-10(8-9)18-12-7-2-1-6-11(12)13(19)20/h1-8,18H,(H,19,20)/f/h19H"
459,c1ccc2c(c1)cc1ccccc1c2O,-4.73,"InChI=1/C14H10O/c15-14-12-7-3-1-5-10(12)9-11-6-2-4-8-13(11)14/h1-9,15H"
460,Cc1cccc(c1C)Nc1ccccc1C(=O)O,-2.28,"InChI=1/C15H15NO2/c1-10-6-5-9-13(11(10)2)16-14-8-4-3-7-12(14)15(17)18/h3-9,16H,1-2H3,(H,17,18)/f/h17H"
461,Cc1cc(ccc1NS(=O)(=O)C(F)(F)F)S(=O)(=O)c1ccccc1,-3.8,"InChI=1/C14H12F3NO4S2/c1-10-9-12(23(19,20)11-5-3-2-4-6-11)7-8-13(10)18-24(21,22)14(15,16)17/h2-9,18H,1H3"
462,Cc1ccc2c(c1)sc(c1ccc(cc1)N)n2,-3.68,"InChI=1/C14H12N2S/c1-9-2-7-12-13(8-9)17-14(16-12)10-3-5-11(15)6-4-10/h2-8H,15H2,1H3"
463,c1ccc(cc1)C[C@H](c1ccccc1)O,-2.52,"InChI=1/C14H14O/c15-14(13-9-5-2-6-10-13)11-12-7-3-1-4-8-12/h1-10,14-15H,11H2/t14-/m1/s1"
464,CCOP(=S)(OCC)Oc1ccc2c(C)c(c(=O)oc2c1)Cl,-5.38,"InChI=1/C14H16ClO5PS/c1-4-17-21(22,18-5-2)20-10-6-7-11-9(3)13(15)14(16)19-12(11)8-10/h6-8H,4-5H2,1-3H3"
465,CN(C)CCN(Cc1cccs1)c1ccccn1,-2.64,"InChI=1/C14H19N3S/c1-16(2)9-10-17(12-13-6-5-11-18-13)14-7-3-4-8-15-14/h3-8,11H,9-10,12H2,1-2H3"
466,C[C@H]1CCCC[C@H]1NC(=Nc1ccccc1)O,-4.11,"InChI=1/C14H20N2O/c1-11-7-5-6-10-13(11)16-14(17)15-12-8-3-2-4-9-12/h2-4,8-9,11,13H,5-7,10H2,1H3,(H2,15,16,17)/t11-,13+/m0/s1"
467,Cc1cccc(c1C)Nc1ccccc1C(=O)O,-3.78,"InChI=1/C15H15NO2/c1-10-6-5-9-13(11(10)2)16-14-8-4-3-7-12(14)15(17)18/h3-9,16H,1-2H3,(H,17,18)/f/h17H"
468,CC(=CCc1c(ccc2ccc(=O)oc12)OC)C,-4.31,"InChI=1/C15H16O3/c1-10(2)4-7-12-13(17-3)8-5-11-6-9-14(16)18-15(11)12/h4-6,8-9H,7H2,1-3H3"
469,CCc1cccc(C)c1N([C@H](C)COC)C(=O)CCl,-2.73,"InChI=1/C15H22ClNO2/c1-5-13-8-6-7-11(2)15(13)17(14(18)9-16)12(3)10-19-4/h6-8,12H,5,9-10H2,1-4H3/t12-/m1/s1"
470,C1CCN2C[C@@H]3C[C@@H](CN4CCCC[C@H]34)[C@H]2C1,-1.89,"InChI=1/C15H26N2/c1-3-7-16-11-13-9-12(14(16)5-1)10-17-8-4-2-6-15(13)17/h12-15H,1-11H2/t12-,13-,14+,15+/m0/s1"
471,CCCCCCCCCCCCCCC(=O)O,-4.31,"InChI=1/C15H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15(16)17/h2-14H2,1H3,(H,16,17)/f/h16H"
472,CN(C)C(=O)Nc1ccc(cc1)Oc1ccc(cc1)OC,-4.16,"InChI=1/C16H18N2O3/c1-18(2)16(19)17-12-4-6-14(7-5-12)21-15-10-8-13(20-3)9-11-15/h4-11H,1-3H3,(H,17,19)"
473,CCCCCCCCCCCCCCCCO,-7.26,"InChI=1/C16H34O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17/h17H,2-16H2,1H3"
474,c1ccc(c(c1)[C@@](c1ccc(cc1)Cl)(c1cncnc1)O)Cl,-4.38,"InChI=1/C17H12Cl2N2O/c18-14-7-5-12(6-8-14)17(22,13-9-20-11-21-10-13)15-3-1-2-4-16(15)19/h1-11,22H/t17-/m1/s1"
475,CCN(CC)C(=O)[C@@H](C)Oc1cccc2ccccc12,-3.57,"InChI=1/C17H21NO2/c1-4-18(5-2)17(19)13(3)20-16-12-8-10-14-9-6-7-11-15(14)16/h6-13H,4-5H2,1-3H3/t13-/m1/s1"
476,CNCCCN1c2ccccc2CCc2ccccc12,-3.66,"InChI=1/C18H22N2/c1-19-13-6-14-20-17-9-4-2-7-15(17)11-12-16-8-3-5-10-18(16)20/h2-5,7-10,19H,6,11-14H2,1H3"
477,CC[C@@H](c1ccc(cc1)O)[C@@H](CC)c1ccc(cc1)O,-4.43,"InChI=1/C18H22O2/c1-3-17(13-5-9-15(19)10-6-13)18(4-2)14-7-11-16(20)12-8-14/h5-12,17-20H,3-4H2,1-2H3/t17-,18-/m0/s1"
478,C[C@@]12CC[C@H]3c4ccc(cc4CC[C@@H]3[C@H]1CC[C@@H]2O)O,-4.84,"InChI=1/C18H24O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-17,19-20H,2,4,6-9H2,1H3/t14-,15-,16+,17-,18+/m0/s1"
479,C=C[C@@H]1CN2CC[C@H]1C[C@@H]2[C@@H](c1ccnc2ccccc12)O,-3.09,"InChI=1/C19H22N2O/c1-2-13-12-21-10-8-14(13)11-18(21)19(22)16-7-9-20-17-6-4-3-5-15(16)17/h2-7,9,13-14,18-19,22H,1,8,10-12H2/t13-,14+,18-,19-/m1/s1"
480,C[C@]12CC[C@H](C[C@@H]1CC[C@@H]1[C@@H]3CCC(=O)[C@@]3(C)CC[C@@H]21)O,-4.4,"InChI=1/C19H30O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h12-16,20H,3-11H2,1-2H3/t12-,13+,14+,15-,16+,18-,19-/m0/s1"
481,C[C@]12CC[C@H](C[C@@H]1CC[C@@H]1[C@@H]3CCC(=O)[C@@]3(C)C[C@@H]([C@@H]21)O)O,-3.59,"InChI=1/C19H30O3/c1-18-8-7-12(20)9-11(18)3-4-13-14-5-6-16(22)19(14,2)10-15(21)17(13)18/h11-15,17,20-21H,3-10H2,1-2H3/t11-,12+,13+,14-,15-,17-,18-,19-/m0/s1"
482,CN(C)CCC=C1c2ccccc2CCc2ccccc12,-4.46,"InChI=1/C20H23N/c1-21(2)15-7-12-20-18-10-5-3-8-16(18)13-14-17-9-4-6-11-19(17)20/h3-6,8-12H,7,13-15H2,1-2H3"
483,CN1CCN(CCCN2c3ccccc3Sc3ccc(cc23)Cl)CC1,-4.4,"InChI=1/C20H24ClN3S/c1-22-11-13-23(14-12-22)9-4-10-24-17-5-2-3-6-19(17)25-20-8-7-16(21)15-18(20)24/h2-3,5-8,15H,4,9-14H2,1H3"
484,C=C[C@@H]1CN2CC[C@@H]1C[C@H]2[C@@H](c1ccnc2ccc(cc12)OC)O,-2.76,"InChI=1/C20H24N2O2/c1-3-13-12-22-9-7-14(13)10-19(22)20(23)16-6-8-21-18-5-4-15(24-2)11-17(16)18/h3-6,8,11,13-14,19-20,23H,1,7,9-10,12H2,2H3/t13-,14-,19+,20-/m1/s1"
485,Cc1c(CC(=O)O)c2cc(ccc2n1C(=O)C=Cc1ccccc1)OC,-5.54,"InChI=1/C21H19NO4/c1-14-17(13-21(24)25)18-12-16(26-2)9-10-19(18)22(14)20(23)11-8-15-6-4-3-5-7-15/h3-12H,13H2,1-2H3,(H,24,25)/f/h24H"
486,CC1(C)[C@@H](C=C(Cl)Cl)[C@@H]1C(=O)OCc1cccc(c1)Oc1ccccc1,-6.29,"InChI=1/C21H20Cl2O3/c1-21(2)17(12-18(22)23)19(21)20(24)25-13-14-7-6-10-16(11-14)26-15-8-4-3-5-9-15/h3-12,17,19H,13H2,1-2H3/t17-,19+/m0/s1"
487,CN(C)[C@@H]1[C@H]2C[C@H]3C(=C([C@@]2(C(=O)C(=C1O)C(=N)O)O)O)C(=O)c1c(ccc(c1[C@@H]3O)Cl)O,-2.52,"InChI=1/C21H21ClN2O8/c1-24(2)14-7-5-6-10(16(27)12-9(25)4-3-8(22)11(12)15(6)26)18(29)21(7,32)19(30)13(17(14)28)20(23)31/h3-4,6-7,14-15,25-26,28-29,32H,5H2,1-2H3,(H2,23,31)/t6-,7+,14+,15+,21-/m0/s1"
488,c1ccc2c(c1)N(CCCN1CCC(CC1)O)c1cc(ccc1S2)C#N,-3.98,"InChI=1/C21H23N3OS/c22-15-16-6-7-21-19(14-16)24(18-4-1-2-5-20(18)26-21)11-3-10-23-12-8-17(25)9-13-23/h1-2,4-7,14,17,25H,3,8-13H2"
489,C#C[C@@]1(CC[C@@H]2[C@H]3CCC4=CC(=O)CC[C@@]4(C)[C@@H]3CC[C@@]12C)O,-5.66,"InChI=1/C21H28O2/c1-4-21(23)12-9-18-16-6-5-14-13-15(22)7-10-19(14,2)17(16)8-11-20(18,21)3/h1,13,16-18,23H,5-12H2,2-3H3/t16-,17+,18+,19+,20+,21-/m0/s1"
490,CC(=O)[C@@H]1CC[C@@H]2[C@H]3CC=C4C[C@H](CC[C@]4(C)[C@@H]3CC[C@@]12C)O,-4.65,"InChI=1/C21H32O2/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14,2)19(16)9-11-21(17,18)3/h4,15-19,23H,5-12H2,1-3H3/t15-,16+,17-,18+,19+,20-,21-/m0/s1"
491,CCOC(=O)C(c1c(c2ccccc2oc1=O)O)c1c(c2ccccc2oc1=O)O,-3.66,"InChI=1/C22H16O8/c1-2-28-20(25)15(16-18(23)11-7-3-5-9-13(11)29-21(16)26)17-19(24)12-8-4-6-10-14(12)30-22(17)27/h3-10,15,23-24H,2H2,1H3"
492,CN1CCc2cc3c(c(c2[C@@H]1[C@H]1c2ccc(c(c2C(=O)O1)OC)OC)OC)OCO3,-3.14,"InChI=1/C22H23NO7/c1-23-8-7-11-9-14-20(29-10-28-14)21(27-4)15(11)17(23)18-12-5-6-13(25-2)19(26-3)16(12)22(24)30-18/h5-6,9,17-18H,7-8,10H2,1-4H3/t17-,18-/m1/s1"
493,C[C@H]1c2cccc(c2C(=O)C2=C([C@]3([C@@H]([C@@H](C(=C(C3=O)C(=N)O)O)N(C)C)[C@H]([C@@H]12)O)O)O)O,-2.87,"InChI=1/C22H24N2O8/c1-7-8-5-4-6-9(25)11(8)16(26)12-10(7)17(27)14-15(24(2)3)18(28)13(21(23)31)20(30)22(14,32)19(12)29/h4-7,10,14-15,17,25,27-29,32H,1-3H3,(H2,23,31)/t7-,10-,14-,15-,17-,22-/m0/s1"
494,CC(=C[C@@H]1[C@@H](C(=O)OCc2cccc(c2)Oc2ccccc2)C1(C)C)C,-5.24,"InChI=1/C23H26O3/c1-16(2)13-20-21(23(20,3)4)22(24)25-15-17-9-8-12-19(14-17)26-18-10-6-5-7-11-18/h5-14,20-21H,15H2,1-4H3/t20-,21+/m1/s1"
495,CC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(cc23)Cl)CC1,-4.95,"InChI=1/C23H28ClN3O2S/c1-18(28)29-16-15-26-13-11-25(12-14-26)9-4-10-27-20-5-2-3-6-22(20)30-23-8-7-19(24)17-21(23)27/h2-3,5-8,17H,4,9-16H2,1H3"
496,CC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(cc23)Cl)CC1,-4.7,"InChI=1/C23H28ClN3O2S/c1-18(28)29-16-15-26-13-11-25(12-14-26)9-4-10-27-20-5-2-3-6-22(20)30-23-8-7-19(24)17-21(23)27/h2-3,5-8,17H,4,9-16H2,1H3"
